iter	Passed	Remaining
892	19796	2372
893	19817	2349
894	19838	2327
895	19860	2305
896	19881	2282
897	19902	2260
898	19925	2238
899	19945	2216
900	19966	2193
901	19988	2171
902	20010	2149
903	20032	2127
904	20052	2104
905	20074	2082
906	20096	2060
907	20124	2039
908	20145	2016
909	20166	1994
910	20187	1972
911	20208	1949
912	20230	1927
913	20251	1905
914	20272	1883
915	20292	1860
916	20313	1838
917	20332	1816
918	20353	1793
919	20374	1771
920	20394	1749
921	20416	1727
922	20437	1704
923	20460	1682
924	20486	1661
925	20508	1638
926	20529	1616
927	20552	1594
928	20574	1572
929	20594	1550
930	20614	1527
931	20633	1505
932	20655	1483
933	20675	1461
934	20696	1438
935	20718	1416
936	20743	1394
937	20764	1372
938	20784	1350
939	20806	1328
940	20827	1305
941	20848	1283
942	20869	1261
943	20892	1239
944	20916	1217
945	20937	1195
946	20959	1173
947	20982	1150
948	21002	1128
949	21023	1106
950	21045	1084
951	21066	1062
952	21087	1039
953	21108	1017
954	21129	995
955	21150	973
956	21172	951
957	21194	929
958	21215	907
959	21236	884
960	21257	862
961	21278	840
962	21299	818
963	21322	796
964	21342	774
965	21363	751
966	21384	729
967	21405	707
968	21426	685
969	21446	663
970	21468	641
971	21490	619
972	21511	596
973	21532	574
974	21553	552
975	21574	530
976	21596	508
977	21617	486
978	21637	464
979	21660	442
980	21681	419
981	21703	397
982	21724	375
983	21752	353
984	21773	331
985	21793	309
986	21813	287
987	21834	265
988	21854	243
989	21875	220
990	21898	198
991	21921	176
992	21941	154
993	21962	132
994	21984	110
995	22004	88
996	22024	66
997	22044	44
998	22065	22
999	22087	0
